                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.54936,                0.31593,                0.92813,                0.99198,                      1,                  0.995,                0.89848,                0.51656,                0.25404,                 0.8973,               0.001307,               0.001307,               0.001307
                     38,                0.54721,                0.30103,                0.91513,                      1,                0.99939,                  0.995,                0.89394,                0.51915,                0.25096,                0.90374,              0.0012872,              0.0012872,              0.0012872
                     39,                0.53003,                0.29254,                0.90542,                0.99951,                      1,                  0.995,                0.90156,                  0.495,                0.23524,                0.88887,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.5447,                0.30399,                0.91934,                      1,                0.99679,                  0.995,                0.90297,                0.49749,                0.24528,                0.89068,              0.0012476,              0.0012476,              0.0012476
                     41,                0.53521,                0.29774,                0.91453,                      1,                0.99999,                  0.995,                0.89596,                 0.5178,                0.24637,                 0.9089,              0.0012278,              0.0012278,              0.0012278
                     42,                0.53343,                0.30516,                0.91941,                0.99918,                      1,                  0.995,                  0.902,                0.50946,                 0.2389,                0.89634,               0.001208,               0.001208,               0.001208
                     43,                0.52653,                0.29382,                 0.9106,                      1,                0.99981,                  0.995,                0.90171,                0.48403,                0.22644,                 0.8883,              0.0011882,              0.0011882,              0.0011882
                     44,                0.52178,                0.29167,                0.91036,                0.99949,                      1,                  0.995,                0.90502,                0.49187,                0.23105,                0.89272,              0.0011684,              0.0011684,              0.0011684
                     45,                  0.516,                0.28577,                0.90557,                0.99935,                      1,                  0.995,                0.90733,                0.48788,                0.23308,                0.88914,              0.0011486,              0.0011486,              0.0011486
                     46,                0.53099,                0.30204,                0.91808,                0.99975,                      1,                  0.995,                0.90611,                 0.4787,                0.22201,                0.88518,              0.0011288,              0.0011288,              0.0011288
                     47,                0.50888,                0.27949,                0.90424,                 0.9994,                      1,                  0.995,                0.90042,                0.50117,                0.24456,                0.89278,               0.001109,               0.001109,               0.001109
                     48,                0.51574,                0.28211,                0.91005,                0.99927,                      1,                  0.995,                 0.9037,                0.50541,                0.22805,                0.89417,              0.0010892,              0.0010892,              0.0010892
                     49,                0.51843,                0.28844,                0.91031,                0.99954,                      1,                  0.995,                0.90731,                0.48223,                0.22532,                0.89048,              0.0010694,              0.0010694,              0.0010694
                     50,                0.50491,                  0.281,                 0.9006,                      1,                 0.9998,                  0.995,                0.89785,                0.48677,                0.23247,                0.88926,              0.0010496,              0.0010496,              0.0010496
                     51,                0.49973,                0.27336,                0.89941,                 0.9999,                      1,                  0.995,                0.90468,                0.49706,                0.22898,                0.89464,              0.0010298,              0.0010298,              0.0010298
                     52,                0.51257,                0.28306,                0.90816,                0.99914,                      1,                  0.995,                0.90399,                0.48794,                0.23603,                 0.8889,                0.00101,                0.00101,                0.00101
